SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A1021P4;СберИОС309;СберИОС 001Р-309R 5Г ВП;TQCB;1000;RUB;RU000A1021P4
Биржевая облигация;exchange_bond;RU000A1021Q2;СберИОС310;СберИОС 001Р-310R 5Г ВП;TQCB;1000;RUB;RU000A1021Q2
Биржевая облигация;exchange_bond;RU000A102242;СберИОС315;СберИОС 001Р-315R 5Y ТЕХ;TQCB;1000;RUB;RU000A102242
Биржевая облигация;exchange_bond;RU000A102259;СберИОС316;СберИОС 001Р-316R 5Г ESG;TQCB;1000;RUB;RU000A102259
Биржевая облигация;exchange_bond;RU000A102283;СберИОС320;СберИОС 001Р-320R 5Г SBERDVTI;TQCB;1000;RUB;RU000A102283
Биржевая облигация;exchange_bond;RU000A1022N7;СберИОС318;СберИОС 001Р-318R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A1022N7
Биржевая облигация;exchange_bond;RU000A1022R8;СберИОС327;СберИОС 001Р-327R 5Г РБЧ;TQCB;1000;RUB;RU000A1022R8
Биржевая облигация;exchange_bond;RU000A102341;СберИОС308;СберИОС 001Р-308R 5Г СРВП;TQCB;1000;RUB;RU000A102341
Биржевая облигация;exchange_bond;RU000A102358;СберИОС307;СберИОС 001Р-307R 5Г СРВП;TQCB;1000;RUB;RU000A102358
Биржевая облигация;exchange_bond;RU000A1023X4;СберИОС323;СберИОС 001Р-323R 5Y ТЕХ;TQCB;1000;RUB;RU000A1023X4
Биржевая облигация;exchange_bond;RU000A1023Y2;СберИОС324;СберИОС 001Р-324R 5Г ESG;TQCB;1000;RUB;RU000A1023Y2
Биржевая облигация;exchange_bond;RU000A1023Z9;СберИОС319;СберИОС 001Р-319R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A1023Z9
Биржевая облигация;exchange_bond;RU000A102416;СберИОС321;СберИОС 001Р-321R 5Г SBERDVTI;TQCB;1000;RUB;RU000A102416
Биржевая облигация;exchange_bond;RU000A1024N3;СберИОС329;СберИОС 001Р-329R 5Г ВП;TQCB;1000;RUB;RU000A1024N3
