;;;;
Акция обыкновенная;common_share;SBER;Сбербанк;Сбербанк России ПАО ао;RUB;RU0009029540
Биржевая облигация;exchange_bond;RU000A1032K2;СберИОС438;СберИОС 001Р-438R 5Г SBRIF ИНД;RUB;RU000A1032K2
Биржевая облигация;exchange_bond;RU000A1032L0;СберИОС440;СберИОС 001Р-440R 7Г СШАМ ИНД;RUB;RU000A1032L0
Биржевая облигация;exchange_bond;RU000A1032N6;СберИОС436;СберИОС 001Р-436R 5Y СМШ;RUB;RU000A1032N6
Биржевая облигация;exchange_bond;RU000A103539;СберИОС445;СберИОС 001Р-445R 5Y СМШ;RUB;RU000A103539
Биржевая облигация;exchange_bond;RU000A103588;СберИОС446;СберИОС 001Р-446R 5Г SBRIF ИНД;RUB;RU000A103588
Биржевая облигация;exchange_bond;RU000A103596;СберИОС447;СберИОС 001Р-447R 7Г РБЧ;RUB;RU000A103596
Биржевая облигация;exchange_bond;RU000A1027B1;СберИОС349;СберИОС 001Р-349R 5Г СМШ;RUB;RU000A1027B1
Биржевая облигация;exchange_bond;RU000A1038U8;Сбер Sb28R;Сбербанк ПАО 001Р-SBER28;RUB;RU000A1038U8
Биржевая облигация;exchange_bond;RU000A103968;СберИОС401;СберИОС 001Р-401R 5Г SBERESGR;RUB;RU000A103968
Биржевая облигация;exchange_bond;RU000A103976;СберИОС416;СберИОС 001Р-416R 7Г ВЗР ИНД;RUB;RU000A103976
Биржевая облигация;exchange_bond;RU000A103AM3;СберИОС435;СберИОС 001Р-435R 5Г SBERESGR;RUB;RU000A103AM3
Биржевая облигация;exchange_bond;RU000A103AP6;СберИОС449;СберИОС 001Р-449R 7Г РБЧ-М;RUB;RU000A103AP6
Биржевая облигация;exchange_bond;RU000A103AF7;СберИОС450;СберИОС 001Р-450R 5Y СМШ;RUB;RU000A103AF7
Биржевая облигация;exchange_bond;RU000A103C87;СберИОС454;СберИОС 001Р-454R 5Y СМШ;RUB;RU000A103C87
Биржевая облигация;exchange_bond;RU000A103CP2;СберИОС455;СберИОС 001Р-455R 7Г РБЧ-М;RUB;RU000A103CP2
Биржевая облигация;exchange_bond;RU000A103CR8;СберИОС456;СберИОС 001Р-456R 5Г DEF ИНД;RUB;RU000A103CR8
Биржевая облигация;exchange_bond;RU000A103F92;СберИОС457;СберИОС 001Р-457R 5Г SBRIF ИНД;RUB;RU000A103F92
Биржевая облигация;exchange_bond;RU000A103FA7;СберИОС458;СберИОС 001Р-458R 7Г РБЧ-М;RUB;RU000A103FA7
Биржевая облигация;exchange_bond;RU000A103FM2;СберИОС460;СберИОС 001Р-460R 5Г ПРОД;RUB;RU000A103FM2
Биржевая облигация;exchange_bond;RU000A103G59;Сбер Sb30R;Сбербанк ПАО 001Р-SBER30;RUB;RU000A103G59
Биржевая облигация;exchange_bond;RU000A103H66;Сбер Sb34R;Сбербанк ПАО 001Р-SBER34;RUB;RU000A103H66
Биржевая облигация;exchange_bond;RU000A103HE5;СберИОС461;СберИОС 001Р-461R 7Г РБЧ-М;RUB;RU000A103HE5
Биржевая облигация;exchange_bond;RU000A103JB7;СберИОС462;СберИОС 001Р-462R 5Г SBRIF ИНД;RUB;RU000A103JB7
Биржевая облигация;exchange_bond;RU000A103JQ5;СберИОС402;СберИОС 001Р-402R 5Г ПРОД;RUB;RU000A103JQ5
Биржевая облигация;exchange_bond;RU000A103LD9;СберИОС463;СберИОС 001Р-463R 5Г SBRIF ИНД;RUB;RU000A103LD9
Биржевая облигация;exchange_bond;RU000A103LE7;СберИОС464;СберИОС 001Р-464R 7Г РБЧ-М;RUB;RU000A103LE7
Биржевая облигация;exchange_bond;RU000A103LF4;СберИОС465;СберИОС 001Р-465R 5Г ПРОД;RUB;RU000A103LF4
Биржевая облигация;exchange_bond;RU000A103MW7;СберИОС467;СберИОС 001Р-467R 7Г TAN;RUB;RU000A103MW7
Биржевая облигация;exchange_bond;RU000A103P25;СберИОС468;СберИОС 001Р-468R 5Г ПРОД;RUB;RU000A103P25
Биржевая облигация;exchange_bond;RU000A103PF5;СберИОС469;СберИОС 001Р-469R 5Г SBRIF ИНД;RUB;RU000A103PF5
Биржевая облигация;exchange_bond;RU000A103PH1;СберИОС470;СберИОС 001Р-470R 7Г РБЧ-М;RUB;RU000A103PH1
Корпоративная облигация;corporate_bond;RU000A103Q24;Сбер2СУБ3R;Сбербанк 002СУБ-03R;RUB;RU000A103Q24
Биржевая облигация;exchange_bond;RU000A103RU0;СберИОС471;СберИОС 001Р-471R 5Г ТЕХ;RUB;RU000A103RU0
Биржевая облигация;exchange_bond;RU000A103RV8;СберИОС472;СберИОС 001Р-472R 5Г РБЧ-М;RUB;RU000A103RV8
Биржевая облигация;exchange_bond;RU000A103RW6;СберИОС473;СберИОС 001Р-473R 7Г СШАМ ИНД;RUB;RU000A103RW6
Биржевая облигация;exchange_bond;RU000A103TL5;СберИОС409;СберИОС 001Р-409R 5Г IMOEX;RUB;RU000A103TL5
Биржевая облигация;exchange_bond;RU000A103TN1;СберИОС418;СберИОС 001Р-418R 5Г SPX;RUB;RU000A103TN1
